transaction_id,customer_id,amount,merchant_category,channel,device_id,country,txn_hour,is_fraud
153,1078,190.91,online_retail,pos_terminal,12898,CA,17,0
154,1014,51.52,digital_wallet,web,17546,US,4,0
155,1089,291.25,digital_wallet,pos_terminal,10077,US,15,0
156,1041,22.79,digital_wallet,web,17577,US,0,0
157,1076,235.47,utilities,pos_terminal,14227,US,20,0
158,1050,273.61,digital_wallet,mobile_app,10600,US,13,0
159,1062,146.84,grocery,mobile_app,11065,US,14,0
160,1095,297.46,travel,mobile_app,12136,US,8,0
161,1051,20.1,grocery,web,19510,US,14,1
162,1095,23.49,grocery,mobile_app,16943,CA,16,0
163,1003,412.19,digital_wallet,web,17804,MX,23,0
164,1093,183.29,travel,mobile_app,16565,US,3,0
165,1022,67.89,travel,mobile_app,15984,US,11,0
166,1014,263.51,travel,web,15142,US,4,1
167,1042,386.15,utilities,web,14670,US,4,0
168,1028,111.83,digital_wallet,mobile_app,12190,MX,10,0
169,1035,313.33,travel,web,19184,US,5,0
170,1012,47.25,utilities,mobile_app,12712,US,6,1
171,1031,30.58,online_retail,web,12192,US,23,1
172,1070,268.02,online_retail,pos_terminal,11248,US,13,0
173,1058,272.61,utilities,pos_terminal,14033,US,23,0
174,1085,320.53,utilities,pos_terminal,11997,CA,10,0
175,1027,364.42,digital_wallet,pos_terminal,13687,US,12,0
176,1065,488.05,digital_wallet,pos_terminal,14018,US,1,0
177,1041,260.57,online_retail,mobile_app,11970,US,6,0
178,1044,164.86,travel,pos_terminal,18389,MX,19,0
179,1061,398.62,online_retail,pos_terminal,15765,CA,3,0
180,1056,139.06,travel,pos_terminal,11202,US,7,0
181,1005,222.29,travel,pos_terminal,18135,US,19,0
182,1027,43.84,digital_wallet,web,15567,US,21,1
183,1027,17.55,grocery,mobile_app,17667,US,20,0
184,1043,481.51,grocery,pos_terminal,15742,MX,18,0
185,1083,418.81,utilities,pos_terminal,15788,US,12,0
186,1029,349.51,digital_wallet,pos_terminal,15408,US,13,0
187,1061,207.43,travel,mobile_app,18669,US,9,0
188,1074,90.78,grocery,web,19446,US,10,0
189,1091,82.44,travel,mobile_app,10922,US,1,0
190,1088,128.87,grocery,web,10419,US,8,1
191,1061,276.87,grocery,pos_terminal,12204,US,16,0
192,1096,358.72,grocery,pos_terminal,11120,US,2,0
193,1000,331.8,digital_wallet,mobile_app,10950,US,23,0
194,1026,143.57,online_retail,mobile_app,12336,US,5,0
195,1061,477.66,travel,web,15373,US,4,0
196,1076,370.26,digital_wallet,web,12243,US,4,1
197,1002,279.41,digital_wallet,mobile_app,12645,US,21,0
198,1069,307.8,digital_wallet,web,14612,US,14,0
199,1071,212.7,digital_wallet,mobile_app,11865,US,22,0
200,1026,127.63,digital_wallet,web,16028,US,16,0
